authors,author_sort,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,rating,#pages,pubdate,series,series_index,size,title,title_sort,#words,#liked,#liseuse,#lu,uuid,publisher,tags
"Pamela Druckerman","Druckerman, Pamela","'Fascinating...gripping...extremely funny...I loved it. It made me want to move to Paris' - India Knight, Sunday Times_______Do you want to learn the secrets of the parents of France's well-behaved children?How come French babies sleep through the night? Why do French children happily eat what is put in front of them?How can French mothers chat to their friends while their children play quietly?_______Parents are saying MERCI to Pamela Druckerman!***** ‘Our parenting bible’***** ‘You are not alone! ... Brilliantly funny and really helpful.’***** ‘Eye opening ... it has changed the way I view and interact with my little one!’
","D:\9. NAS drive\Medias\ebook calibre v2\Pamela Druckerman\French Children Don't Throw Food_ Th (25)\cover.jpg","2024-02-12T20:36:04+02:00","epub","9781448127153","25","isbn:9781448127153,google:DD-zc17A4bIC","eng","ebook calibre v2","","435","2012-01-19T10:02:13+02:00","","1.0","312232","French Children Don't Throw Food: The Hilarious NO. 1 SUNDAY TIMES BESTSELLER Changing Parents’ Lives","French Children Don't Throw Food: The Hilarious NO. 1 SUNDAY TIMES BESTSELLER Changing Parents’ Lives","90770","","True","","af1cb5fb-53a8-45ea-b73f-d65f08d5086f","Random House","Biography & Autobiography, Personal Memoirs, Family & Relationships, parenting, General, Humor, Topic, Marriage & Family, Life Stages, Infants & Toddlers, Conflict Resolution, Motherhood"
"Joanna Faber & Julie King","Faber, Joanna & King, Julie","OVER HALF A MILLION COPIES SOLD A must-have resource for anyone who lives or works with young kids, with an introduction by Adele Faber, coauthor of How to Talk So Kids Will Listen & Listen So Kids Will Talk, the international mega-bestseller The Boston Globe dubbed “The Parenting Bible.”For nearly forty years, parents have turned to How to Talk So Kids Will Listen & Listen So Kids Will Talk for its respectful and effective solutions to the unending challenges of raising children. Now, in response to growing demand, Adele’s daughter, Joanna Faber, along with Julie King, tailor How to Talk’s powerful communication skills to parents of children ages two to seven. Faber and King, each a parenting expert in her own right, share their wisdom accumulated over years of conducting How To Talk workshops with parents, teachers, and pediatricians. With a lively combination of storytelling, cartoons, and observations from their workshops, they provide concrete tools and tips that will transform your relationship with the children in your life. What do you do with a little kid who…won’t brush her teeth…screams in his car seat…pinches the baby...refuses to eat vegetables…throws books in the library...runs rampant in the supermarket? Organized by common challenges and conflicts, this book is an essential manual of communication strategies, including a chapter that addresses the special needs of children with sensory processing and autism spectrum disorders. This user-friendly guide will empower parents and caregivers of young children to forge rewarding, joyful relationships with terrible two-year-olds, truculent three-year-olds, ferocious four-year-olds, foolhardy five-year-olds, self-centered six-year-olds, and the occasional semi-civilized seven-year-old. And, it will help little kids grow into self-reliant big kids who are cooperative and connected to their parents, teachers, siblings, and peers.
","D:\9. NAS drive\Medias\ebook calibre v2\Joanna Faber\How to Talk So Little Kids Will List (26)\cover.jpg","2024-02-12T20:36:04+02:00","epub","9781501131660","26","isbn:9781501131660,google:bCqzCwAAQBAJ","eng","ebook calibre v2","","557","2017-01-10T09:59:52+02:00","","1.0","14851433","How to Talk So Little Kids Will Listen: A Survival Guide to Life With Children Ages 2-7","How to Talk So Little Kids Will Listen: A Survival Guide to Life With Children Ages 2-7","92426","","True","","8fe0beb7-8a3e-44a0-8770-0efa477764ab","Simon and Schuster","Family & Relationships, Life Stages, Infants & Toddlers, Self-Help, Emotions, Conflict Resolution"
"Héloïse Junier","Junier, Héloïse","À quel âge les enfants font-ils vraiment leur nuit ? Comment favoriser leur endormissement ?Quelles sont les causes des difficultés de sommeil les plus répandues ? La psychologue pour enfants Héloïse Junier a rassemblé les questions les plus fréquentes que les jeunes parents se posent sur le sommeil de leur enfant. Sous forme de fiches pratiques, elle y répond sur la base solide des connaissances scientifiques récentes. Dans ce livre à la pointe de la science du sommeil et de la psychologie de l’enfant, elle décrypte avec humour et bienveillance les nuits de nos jeunes enfants, balaie les nombreuses idées reçues et livre de précieux conseils.
Pour les parents des enfants de 0 à 6 ans.
Préface de Catherine Guéguen
","D:\9. NAS drive\Medias\ebook calibre v2\Heloise Junier\Le sommeil du jeune enfant_ Pour les (27)\cover.jpg","2024-02-12T20:36:04+02:00","epub","9782100842094","27","google:JGpmEAAAQBAJ,isbn:9782100842094","fra","ebook calibre v2","","423","2022-04-27T09:41:26+02:00","","1.0","1041438","Le sommeil du jeune enfant: Pour les parents qui ne font pas leurs nuits - De 0 à 6 ans","sommeil du jeune enfant: Pour les parents qui ne font pas leurs nuits - De 0 à 6 ans, Le","56117","","True","","a24754df-8e9a-4aba-a82e-9c6f4e9c83fb","Dunod","Essai, General, Psychology, Psychologie"
"Héloïse Junier","Junier, Héloïse","Dans ce livre, Héloise Junier a rassemblé l'ensemble des questions que les parents lui posent le plus souvent en consultation. Elle aborde ainsi toutes les problématiques auxquels sont confrontés les parents d'enfants de 0 à 4 ans : les émotions, la communication, l'alimentation, le sommeil, l'éducation, le mode de garde, etc.
Ce manuel de survie vous aide à décrypter les situations quotidiennes que vit votre enfant et vous donne des pistes concrètes pour mieux y faire face.
Pour chaque problématique, vous trouverez une partie théorique qui présente de façon simple les dernières recherches en psychologie et en neurosciences, et une partie pratique qui vous indique quoi faire.
","D:\9. NAS drive\Medias\ebook calibre v2\Heloise Junier\Le manuel de survie des parents_ pou (28)\cover.jpg","2024-02-12T20:36:04+02:00","epub","9782729620608","28","google:GymsDwAAQBAJ,isbn:9782729620608","fra","ebook calibre v2","","369","2019-09-04T09:42:04+02:00","","1.0","620960","Le manuel de survie des parents: pour affronter toutes les situations de 0 à 4 ans","manuel de survie des parents: pour affronter toutes les situations de 0 à 4 ans, Le","61635","","True","","6ef67979-a2e5-4014-8247-2f70ca259aae","InterEditions","Self-Help, Essai, General, Education"
"Janet Lansbury & Jlml Press","Lansbury, Janet & Press, Jlml","Janet Lansbury's advice on respectful parenting is quoted and shared by millions of listeners worldwide. Inspired by the pioneering parenting philosophy of her friend and mentor, Magda Gerber, Janet's influential voice encourages parents and child-care professionals to perceive babies as unique, capable human beings with natural abilities to learn without being taught; to develop motor and cognitive skills; communicate; face age appropriate struggles; initiate and direct independent play for extended periods; and much more. Once we are able to view our children in this light, even the most common daily parenting experiences become stimulating opportunities to learn, discover, and to connect with our child. *Elevating Child Care* is a collection of 30 popular and widely discussed articles from Janet's website that focus on some of the most common infant/toddler issues: eating, sleeping, diaper changes, communication, separation, focus and attention span, creativity, boundaries, and more. Eschewing the quick-fix tips and tricks of popular parenting culture, Janet's insightful philosophy lays the foundation for a closer, more fulfilling parent/child relationship, and children who grow up to be authentic, confident, successful adults.
","D:\9. NAS drive\Medias\ebook calibre v2\Janet Lansbury\Elevating Child Care_ A Guide to Res (29)\cover.jpg","2024-02-12T20:36:04+02:00","epub","","29","amazon:B00LACR59Q","eng","ebook calibre v2","4.5","162","2014-05-11T01:00:00+02:00","","1.0","228239","Elevating Child Care: A Guide to Respectful Parenting","Elevating Child Care: A Guide to Respectful Parenting","33114","","True","","df3ff13d-3fb1-472b-83e9-522753c12bb6","JLML Press","RIE, parenting, Janet Lansbury, Early Childhood, Babies and Toddlers"
"Kim John Payne","Payne, Kim John","In this groundbreaking book, parenting expert and acclaimed author of the bestselling book Simplicity Parenting Kim John Payne, M.Ed., flips the script on children’s challenging or defiant behavior and lays out an elegantly simple plan to support parents in establishing loving, age-sensitive boundaries that help children feel safe and settled. In short: What looks like misbehavior is actually your children’s signal that they’re feeling lost, that they are trying to find direction and looking to you to guide them back on course. Payne gives parents heartwarming help and encouragement by combining astute observations with sensitive and often funny stories from his long career as a parent educator and a school and family counselor. In accessible language, he explains the relevance of current brain- and child-development studies to day-to-day parenting. Breaking the continuum of childhood into three stages, Payne says that parents need to play three different roles, each corresponding to one of those stages, to help steer children through their emotional growth and inevitable challenging times: • The Governor, who is comfortably and firmly in charge—setting limits and making decisions for the early years up to around the age of eight • The Gardener, who watches for emotional growth and makes decisions based on careful listening, assisting tweens in making plans that take the whole family’s needs into account • The Guide, who is both a sounding board and moral compass for emerging adults, helping teens build a sense of their life’s direction as a way to influence healthy decision making Practical and rooted in common sense, The Soul of Discipline gives parents permission to be warm and nurturing but also calm and firm (not overreactive). It gives clear, doable strategies to get things back on track for parents who sense that their children’s behavior has fallen into a troubling pattern. And best of all, it provides healthy direction to the entire family so parents can spend less time and energy on outmoded, punitive discipline and more on connecting with and enjoying their kids.
Advance praise for The Soul of Discipline “The Soul of Discipline offers practical tools for helping parents implement discipline that’s respectful and effective, but the book is so much more. Kim John Payne offers a framework to guide parents in making decisions about why, when, and how to hold tighter reins as we build skills in our children, and why, when, and how to loosen the reins as we scaffold freedom.”—Tina Payne Bryson, Ph.
D., co-author of No-Drama Discipline “This book gets deep inside the challenge of getting along with children and teens and thinks deeply about what they need from us to become strong and self-managing. It elevates discipline to what it should be—a caring process of helping kids orient to the world and live in it happily and well.”—Steve Biddulph, author of The New Manhood “Kim Payne provides a useful model for choosing our parenting stance—Governor, Gardener, or Guide—depending on the situation. Most powerfully, Payne begins with the radical view that children are not disobedient but rather disoriented. The upshot of this shift in perspective is that discipline is about helping children orient themselves effectively, not about controlling or chastising.”—Lawrence J. Cohen, Ph.
D., author of Playful Parenting
","D:\9. NAS drive\Medias\ebook calibre v2\Kim John Payne\The Soul of Discipline_ The Simplici (30)\cover.jpg","2024-02-12T20:36:04+02:00","epub","9780345548689","30","google:Wm55BAAAQBAJ,isbn:9780345548689","eng","ebook calibre v2","","565","2015-06-02T09:33:40+02:00","","1.0","2622955","The Soul of Discipline: The Simplicity Parenting Approach to Warm, Firm, and Calm Guidance- From Toddlers to Teens","The Soul of Discipline: The Simplicity Parenting Approach to Warm, Firm, and Calm Guidance- From Toddlers to Teens","91054","","True","","d6d1430f-155e-4263-9fa7-faca5f254a45","Random House Publishing Group","Family & Relationships, parenting, General, Life Stages, School Age, Psychology, Developmental, Child"
"Daniel Siegel & Tina Payne Bryson","Siegel, Daniel & Bryson, Tina Payne","Una guía imprescindible para orientar y alimentar el desarrollo mental de tu hijo.
Por los autores del best seller internacional El cerebro del niño.
Los autores de El cerebro del niño, Daniel J. Siegel y Tina Payne Bryson, analizan, en esta ocasión, el desafío primordial en la educación de los hijos: la disciplina.
Haciendo hincapié en el fascinante vínculo entre el desarrollo neurológico del niño y el modo en que los padres reaccionan ante la mala conducta de este, Disciplina sin lágrimas proporciona un efectivo y compasivo «mapa de carreteras» para afrontar las pataletas, las tensiones y las lágrimas sin montar un número.
Al definir el verdadero significado de la palabra «disciplina» (instruir, no gritar ni regañar), los autores explican cómo establecer conexión con el niño, redirigir emociones y convertir una rabieta en una oportunidad para crecer. De este modo, el ciclo de comportamiento (y castigo) negativo básicamente se detiene, mientras que la resolución del problema se transforma en una situación en la que todos salen ganando.
En esta guía para no volverte loco descubrirás: - Estrategias para ayudar a los padres a identificar su propia filosofía disciplinaria y dominar los mejores métodos para transmitir las lecciones que intentan impartir.- Aspectos del desarrollo del cerebro del niño y análisis de las disciplinas más adecuadas y constructivas para todas las edades y etapas.- La manera de conectar con un niño con tranquilidad y afectuosidad -por extrema que sea su conducta-, fijando a la vez límites claros y coherentes.- Consejos para orientar a tus hijos a lo largo de una pataleta a fin de lograr percepción, empatía y reparación.- Veinte errores en relación con la disciplina que hasta los mejores padres cometen, y cómo permanecer centrados en los principios de las técnicas disciplinarias y el estilo parental de «cerebro pleno».Complementado con sencillas historias y divertidas ilustraciones que dan vida a las sugerencias de los autores, Disciplina sin lágrimas explica cómo trabajar con la mente en desarrollo de tu hijo, resolver conflictos de forma tranquila, inspirar felicidad y fortalecer la resiliencia en todos los miembros de la familia.
ENGLISH DESCRIPTIONNEW YORK TIMES BESTSELLER • The pioneering experts behind The Whole-Brain Child and The Yes Brain tackle the ultimate parenting challenge: discipline.
""A lot of fascinating insights . . . an eye-opener worth reading.
""—ParentsHighlighting the fascinating link between a child’s neurological development and the way a parent reacts to misbehavior, No-Drama Discipline provides an effective, compassionate road map for dealing with tantrums, tensions, and tears—without causing a scene.
Defining the true meaning of the ""d"" word (to instruct, not to shout or reprimand), the authors explain how to reach your child, redirect emotions, and turn a meltdown into an opportunity for growth. By doing so, the cycle of negative behavior (and punishment) is essentially brought to a halt, as problem solving becomes a win/win situation. Inside this sanity-saving guide you’ll discover: • Strategies that help parents identify their own discipline philosophy—and master the best methods to communicate the lessons they are trying to impart.• Facts on child brain development—and what kind of discipline is most appropriate and constructive at all ages and stages.• The way to calmly and lovingly connect with a child—no matter how extreme the behavior—while still setting clear and consistent limits.• Tips for navigating your child through a tantrum to achieve insight, empathy, and repair.• Twenty discipline mistakes even the best parents make—and how to stay focused on the principles of whole-brain parenting and discipline techniques.
Complete with candid stories and playful illustrations that bring the authors’ suggestions to life, No-Drama Discipline shows you how to work with your child’s developing mind, peacefully resolve conflicts, and inspire happiness and strengthen resilience in everyone in the family.
","D:\9. NAS drive\Medias\ebook calibre v2\Daniel Siegel\Disciplina sin lagrimas _ No-Drama D (31)\cover.jpg","2024-02-12T20:36:05+02:00","epub","9788490704523","31","google:XnOREAAAQBAJ,isbn:9788490704523","spa","ebook calibre v2","","23","2018-08-21T09:17:57+02:00","","1.0","119184","Disciplina sin lágrimas / No-Drama Discipline","Disciplina sin lágrimas / No-Drama Discipline","3872","","True","","b8ce50a0-773c-43be-9419-1f0931816ff3","PRH Grupo Editorial","Psychology, Developmental, Child, Family & Relationships, parenting, General, Reference"
"Ursula Le Guin","Guin, Ursula Le","Terremer est un monde d'île et d'eau où la sorcellerie est une science qui peut mettre en échec même les dragons. Et accessoirement faire souffler le vent dans les voiles des barques, guérir les maladies et apaiser les tremblements de terre.  Terremer conte l'histoire d'Épervier, dont le nom secret est Ged ; comment il fut choisi, enfant, pour recevoir l'enseignement de la sorcellerie ; comment, par défi, il fit revenir de l'au-delà une ombre qui faillit le terrasser et qu'il dut poursuivre jusqu'aux extrémités du monde...","D:\9. NAS drive\Medias\ebook calibre v2\Ursula Le Guin\Le Sorcier de Terremer (32)\cover.jpg","2024-02-12T20:36:05+02:00","epub","9782720100819","32","isbn:9782720100819,google:I7TzzQEACAAJ","fra","ebook calibre v2","","324","1977-02-15T09:37:53+02:00","","1.0","465591","Le Sorcier de Terremer","Sorcier de Terremer, Le","66568","","True","","3b0d82ba-45d0-4e31-a13f-d2efaa75e358","Éditions Opta",""
"Isabelle Filliozat","Filliozat, Isabelle","Nous aimerions ne trouver en nous, pour nos enfants, qu’amour et tendresse. C’est illusoire. Nous avons un passé, une histoire avec ses richesses et ses blessures. Notre situation familiale ou professionnelle n’est pas forcément facile. Nous avons toutes sortes de raisons de ne pas être qu’amour : la peur, la colère, les frustrations. Le parent doit en prendre conscience sous peine de trop se culpabiliser, de saboter l’amour, d’installer distance et méfiance avec son enfant. Etre parent est une grande aventure. Merveilleuse mais aussi éprouvante, à la rencontre de l’enfant, de soi-même et de nos proches. En effet l’éducation de l’enfant implique le père et la mère, les grands-parents mais aussi l’enfant intérieur du parent. Ainsi notre enfance et toutes sortes d’émotions refoulées, de douleurs inexprimées qui habitent la famille, motivent nos attitudes envers nos enfants. Il n’est pas si simple d’aimer un enfant. Parfois face à ses bêtises, déceptions, transgressions, le parent se sent démuni : en colère, en larmes, blessé, honteux, en fuite... L’objet de ce livre n’est pas de fustiger les « mauvais » parents mais de mieux comprendre ce qui nous empêche d’être le parent que nous aimerions être. Il propose des pistes pour permettre à chaque parent de reprendre la maîtrise de ses comportements et de faire face aux besoins de l’enfant de la naissance jusqu’à l’adolescence.
","D:\9. NAS drive\Medias\ebook calibre v2\Isabelle Filliozat\Il n'y a pas de parent parfait (33)\cover.jpg","2024-02-12T20:36:05+02:00","epub","9782709631877","33","mobi-asin:B005OJB4UM,isbn:9782709631877,google:LXHXZhNdAjUC","fra","ebook calibre v2","","342","2008-01-09T09:58:38+02:00","","1.0","547724","Il n'y a pas de parent parfait","Il n'y a pas de parent parfait","66255","True","True","True","63b84314-ab39-4451-b5fb-a8ffcb3ee72d","JC Lattès","Self-Help, General"
"Tamara Rosier Phd","Rosier, Tamara Phd","If you have ADHD, your brain doesn't work in the same way as a ""normal"" or neurotypical brain does because it's wired differently. You and others may see this difference in circuitry as somehow wrong or incomplete. It isn't. It does present you with significant challenges like time management, organization skills, forgetfulness, trouble completing tasks, mood swings, and relationship problems.
In Your Brain's Not Broken, Dr. Tamara Rosier explains how ADHD affects every aspect of your life. You'll finally understand why you think, feel, and act the way you do. Dr. Rosier applies her years of coaching others to offer you the critical practical tools that can dramatically improve your life and relationships.
Anyone with ADHD--as well as anyone who lives with or loves someone with ADHD--will find here a compassionate, encouraging guide to living well and with hope.
","D:\9. NAS drive\Medias\ebook calibre v2\Tamara Rosier Phd\Your Brain's Not Broken_ Strategies (34)\cover.jpg","2024-02-12T20:36:05+02:00","azw3, epub","9780800739423","34","mobi-asin:e83de174-ccb0-4701-ab73-d4c00fc59d7a,google:uWg5zgEACAAJ,isbn:9780800739423","eng","ebook calibre v2","","278","2021-09-21T09:22:07+02:00","","1.0","1284538","Your Brain's Not Broken: Strategies for Navigating Your Emotions and Life With ADHD","Your Brain's Not Broken: Strategies for Navigating Your Emotions and Life With ADHD","55200","True","True","True","08fa37fe-7e28-409f-a86a-95577b812567","Baker Publishing Group","Family & Relationships, REL012030, Self-Help, Attention Deficit Disorder (ADD-ADHD), Psychology, Religion, FAM047000, Attention-Deficit Disorder (ADD-ADHD), Attention-deficit disorder in adults, Attention-deficit disorder in adolescence, Christian Living, Attention-deficit hyperactivity disorder, Psychopathology, PSY022010"
"James Clear","Clear, James","The #1 New York Times bestseller. Over 15 million copies sold!Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.
If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.
Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.
Learn how to:make time for new habits (even when life gets crazy);overcome a lack of motivation and willpower;design your environment to make success easier;get back on track when you fall off course;...and much more.
Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.
","D:\9. NAS drive\Medias\ebook calibre v2\James Clear\Atomic Habits_ An Easy & Proven Way (35)\cover.jpg","2024-02-12T20:36:05+02:00","epub","9780735211292","35","google:XfFvDwAAQBAJ,isbn:9780735211292,amazon:0735211299,mobi-asin:b5483410-f237-41aa-9ad8-292319f1d0c0","eng","ebook calibre v2","5","428","2018-10-16T02:00:00+02:00","","1.0","673798","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","78245","","True","","d8b41b94-9660-4de3-a8ac-2062094c658a","Avery","Organizational Behavior, Nonfiction, Psychology, Self-Help, Personal Growth, Social Psychology, General, Business & Economics"
"Michael Joseph Ferguson","Ferguson, Michael Joseph","The most comprehensive holistic guide to transforming adult ADD / ADHD. ""The Drummer and the Great Mountain - A Guidebook to Transforming Adult ADD/ADHD"" starts with the premise that ADD/ADHD is a neurological type, not a disorder -- shared by countless artists and great minds throughout history. It offers a soulful, comprehensive, and holistic support system for creative individuals looking to maximize their potential and minimize their challenges with focus and consistency. Topics covered: Nutrition, Exercise, Emotional Support Tools, Time Management, Life Visioning, Creating Effective Support Systems, ADD / ADHD and Addiction, Meditation and Mindfulness Practices, and much more. Who Can Benefit: 1. Anyone diagnosed (or self-diagnosed) with ADD / ADHD. 2. Artists, musicians, entrepreneurs, and creative-types who struggle with consistency, structure, self-motivation, and possibly addictive tendencies. 3. People taking ADD / ADHD medication who are looking for effective, natural alternatives. 4. Social Workers, therapists, and wellness professionals seeking a comprehensive support plan for their clients. 5. Spouses, partners, and parents looking for ways to effectively support their loved ones. 6. Teachers, life coaches and support professionals wanting to discover more in-depth tools of support. What People Are Saying: ""The Drummer and the Great Mountain is an informative, practical guidebook for those of us with the artistic or entrepreneurial temperament, offering a treasure trove of survival tools, personal growth techniques and coping mechanisms for a personality type that can often be at odds with our linear, rational society."" ~ Warren Goldie, Author ""Michael has taken a deeper look at how the foods we eat affect our brain chemistry. He has done a beautiful job explaining this phenomenon in clear and understandable terms; offering a realistic roadmap on how to recognize and take control of detrimental dietary patterns."" ~ Jennifer Copyak, Nutritionist
","D:\9. NAS drive\Medias\ebook calibre v2\Michael Joseph Ferguson\The Drummer and the Great Mountain - (36)\cover.jpg","2024-02-12T20:36:05+02:00","epub","9780615999890","36","amazon:0615999891,mobi-asin:B07N7ZG74C,isbn:9780615999890","eng","ebook calibre v2","5","590","2014-06-26T02:00:00+02:00","","1.0","3563743","The Drummer and the Great Mountain - a Guidebook to Transforming Adult ADD/ADHD","The Drummer and the Great Mountain - a Guidebook to Transforming Adult ADD/ADHD","93011","","True","","81300ece-831e-47f3-a0ab-b0ee2c8ed8a3","LUMINAIA",""
"Héloïse Junier","Junier, Héloïse","« Pour ou contre s’attacher aux enfants ? » ; « Pour ou contre les laisser commencer leur repas par le dessert ? », « Pour ou contre leur parler de vos propres émotions ? », etc. L’objectif ? Quitter les batailles idéologiques qui figent nos pensées depuis de trop nombreuses années pour se recentrer sur le sens de nos pratiques quotidiennes. Mettre de côté ces codes culturels qui nous collent à la peau pour nous recentrer sur les besoins de l’enfant lui-même. La science a l’avantage de nous fournir des informations solides, fiables, objectives et (presque) détachées de toute idéologie. Alors profitons-en !
","D:\9. NAS drive\Medias\ebook calibre v2\Heloise Junier\Pour ou contre __ Les grands debats (37)\cover.jpg","2024-02-12T20:36:05+02:00","epub","9782100832743","37","isbn:9782100832743,google:m8hGEAAAQBAJ","fra","ebook calibre v2","","373","2021-10-13T09:40:43+02:00","","1.0","1616020","Pour ou contre ?: Les grands débats de la petite enfance à la lumière des connaissances scientifiques","Pour ou contre ?: Les grands débats de la petite enfance à la lumière des connaissances scientifiques","69809","","True","","ce968d1f-1f71-400e-97cd-6cb86345d204","Dunod","Essai, Human Services, Social Science, General"
